ds,y
2017-11-09,0.001415
2017-11-10,0.001431
2017-11-11,0.001257
2017-11-12,0.00121
2017-11-13,0.001212
2017-11-14,0.001239
2017-11-15,0.001351
2017-11-16,0.001424
2017-11-17,0.001394
2017-11-18,0.001385
2017-11-19,0.001421
2017-11-20,0.001428
2017-11-21,0.001446
2017-11-22,0.002053
2017-11-23,0.002246
2017-11-24,0.001978
2017-11-25,0.002072
2017-11-26,0.002132
2017-11-27,0.002036
2017-11-28,0.002363
2017-11-29,0.002581
2017-11-30,0.002271
2017-12-01,0.002237
2017-12-02,0.002212
2017-12-03,0.00234
2017-12-04,0.002475
2017-12-05,0.002676
2017-12-06,0.002663
2017-12-07,0.002858
2017-12-08,0.002846
2017-12-09,0.002846
2017-12-10,0.002742
2017-12-11,0.002894
2017-12-12,0.003381
2017-12-13,0.003884
2017-12-14,0.003718
2017-12-15,0.003809
2017-12-16,0.006251
2017-12-17,0.007628
2017-12-18,0.006809
2017-12-19,0.006693
2017-12-20,0.007067
2017-12-21,0.008768
2017-12-22,0.007625
2017-12-23,0.008076
2017-12-24,0.008948
2017-12-25,0.010729
2017-12-26,0.009623
2017-12-27,0.009609
2017-12-28,0.008856
2017-12-29,0.009477
2017-12-30,0.009446
2017-12-31,0.009274
2018-01-01,0.009063
2018-01-02,0.009598
2018-01-03,0.009584
2018-01-04,0.010036
2018-01-05,0.012283
2018-01-06,0.015788
2018-01-07,0.018773
2018-01-08,0.017664
2018-01-09,0.015569
2018-01-10,0.01356
2018-01-11,0.013153
2018-01-12,0.013339
2018-01-13,0.013653
2018-01-14,0.013187
2018-01-15,0.011779
2018-01-16,0.009863
2018-01-17,0.007741
2018-01-18,0.008733
2018-01-19,0.008435
2018-01-20,0.008649
2018-01-21,0.008438
2018-01-22,0.007606
2018-01-23,0.007049
2018-01-24,0.007217
2018-01-25,0.007763
2018-01-26,0.007982
2018-01-27,0.007545
2018-01-28,0.007681
2018-01-29,0.007522
2018-01-30,0.006992
2018-01-31,0.006219
2018-02-01,0.00609
2018-02-02,0.005023
2018-02-03,0.005495
2018-02-04,0.005317
2018-02-05,0.00447
2018-02-06,0.004421
2018-02-07,0.0048
2018-02-08,0.004872
2018-02-09,0.005011
2018-02-10,0.005441
2018-02-11,0.005183
2018-02-12,0.005508
2018-02-13,0.005678
2018-02-14,0.006786
2018-02-15,0.007948
2018-02-16,0.007485
2018-02-17,0.007322
2018-02-18,0.007144
2018-02-19,0.006938
2018-02-20,0.008288
2018-02-21,0.007391
2018-02-22,0.006869
2018-02-23,0.006949
2018-02-24,0.006898
2018-02-25,0.006411
2018-02-26,0.006499
2018-02-27,0.006574
2018-02-28,0.006451
2018-03-01,0.00632
2018-03-02,0.006232
2018-03-03,0.005756
2018-03-04,0.005502
2018-03-05,0.005535
2018-03-06,0.005136
2018-03-07,0.004704
2018-03-08,0.004418
2018-03-09,0.004146
2018-03-10,0.004379
2018-03-11,0.00432
2018-03-12,0.004273
2018-03-13,0.004234
2018-03-14,0.004018
2018-03-15,0.003619
2018-03-16,0.003655
2018-03-17,0.00355
2018-03-18,0.00328
2018-03-19,0.003504
2018-03-20,0.003727
2018-03-21,0.003833
2018-03-22,0.003726
2018-03-23,0.00356
2018-03-24,0.003727
2018-03-25,0.003576
2018-03-26,0.003541
2018-03-27,0.003283
2018-03-28,0.003244
2018-03-29,0.003177
2018-03-30,0.00289
2018-03-31,0.002897
2018-04-01,0.002869
2018-04-02,0.002814
2018-04-03,0.002993
2018-04-04,0.003006
2018-04-05,0.002791
2018-04-06,0.002737
2018-04-07,0.002865
2018-04-08,0.002907
2018-04-09,0.002929
2018-04-10,0.003073
2018-04-11,0.003499
2018-04-12,0.003798
2018-04-13,0.004294
2018-04-14,0.004218
2018-04-15,0.004614
2018-04-16,0.00492
2018-04-17,0.004869
2018-04-18,0.005468
2018-04-19,0.005824
2018-04-20,0.005958
2018-04-21,0.005887
2018-04-22,0.005773
2018-04-23,0.005707
2018-04-24,0.005908
2018-04-25,0.005919
2018-04-26,0.005676
2018-04-27,0.005739
2018-04-28,0.005622
2018-04-29,0.005558
2018-04-30,0.005534
2018-05-01,0.005272
2018-05-02,0.005415
2018-05-03,0.005649
2018-05-04,0.005555
2018-05-05,0.005347
2018-05-06,0.005259
2018-05-07,0.005017
2018-05-08,0.005356
2018-05-09,0.005324
2018-05-10,0.005296
2018-05-11,0.005036
2018-05-12,0.004668
2018-05-13,0.004622
2018-05-14,0.004559
2018-05-15,0.004788
2018-05-16,0.00455
2018-05-17,0.00448
2018-05-18,0.004377
2018-05-19,0.004428
2018-05-20,0.004476
2018-05-21,0.004419
2018-05-22,0.004281
2018-05-23,0.004274
2018-05-24,0.003713
2018-05-25,0.003607
2018-05-26,0.003569
2018-05-27,0.00348
2018-05-28,0.003447
2018-05-29,0.003446
2018-05-30,0.003506
2018-05-31,0.003513
2018-06-01,0.003469
2018-06-02,0.003584
2018-06-03,0.00375
2018-06-04,0.00376
2018-06-05,0.003722
2018-06-06,0.0038
2018-06-07,0.003836
2018-06-08,0.003784
2018-06-09,0.003711
2018-06-10,0.003595
2018-06-11,0.003247
2018-06-12,0.003273
2018-06-13,0.003115
2018-06-14,0.003016
2018-06-15,0.002982
2018-06-16,0.002956
2018-06-17,0.002945
2018-06-18,0.00308
2018-06-19,0.003074
2018-06-20,0.003047
2018-06-21,0.003031
2018-06-22,0.003004
2018-06-23,0.002714
2018-06-24,0.002711
2018-06-25,0.002576
2018-06-26,0.002577
2018-06-27,0.002508
2018-06-28,0.002504
2018-06-29,0.002492
2018-06-30,0.002541
2018-07-01,0.002554
2018-07-02,0.002721
2018-07-03,0.002764
2018-07-04,0.002724
2018-07-05,0.002695
2018-07-06,0.002619
2018-07-07,0.002646
2018-07-08,0.002671
2018-07-09,0.002649
2018-07-10,0.002623
2018-07-11,0.002475
2018-07-12,0.002425
2018-07-13,0.002356
2018-07-14,0.002384
2018-07-15,0.002415
2018-07-16,0.002869
2018-07-17,0.003261
2018-07-18,0.004314
2018-07-19,0.00395
2018-07-20,0.003836
2018-07-21,0.003531
2018-07-22,0.003582
2018-07-23,0.003638
2018-07-24,0.003668
2018-07-25,0.00366
2018-07-26,0.003645
2018-07-27,0.003461
2018-07-28,0.00347
2018-07-29,0.003477
2018-07-30,0.003352
2018-07-31,0.003325
2018-08-01,0.00316
2018-08-02,0.003163
2018-08-03,0.002969
2018-08-04,0.002965
2018-08-05,0.002915
2018-08-06,0.002909
2018-08-07,0.002827
2018-08-08,0.002669
2018-08-09,0.002593
2018-08-10,0.002609
2018-08-11,0.00246
2018-08-12,0.00244
2018-08-13,0.002451
2018-08-14,0.002325
2018-08-15,0.002412
2018-08-16,0.00237
2018-08-17,0.002478
2018-08-18,0.002499
2018-08-19,0.002473
2018-08-20,0.002485
2018-08-21,0.002431
2018-08-22,0.002517
2018-08-23,0.002397
2018-08-24,0.002436
2018-08-25,0.002439
2018-08-26,0.002413
2018-08-27,0.002468
2018-08-28,0.002619
2018-08-29,0.00262
2018-08-30,0.003269
2018-08-31,0.004849
2018-09-01,0.006753
2018-09-02,0.006554
2018-09-03,0.00555
2018-09-04,0.005323
2018-09-05,0.005394
2018-09-06,0.005092
2018-09-07,0.005442
2018-09-08,0.005858
2018-09-09,0.005843
2018-09-10,0.006933
